variable,etiqueta,importancia,desvio
Total_Trans_Ct,Cantidad de transacciones (12m),0.27871,0.00732
Total_Trans_Amt,Monto transaccionado (12m),0.11221,0.00484
ticket_promedio,Ticket promedio,0.05932,0.00255
Total_Revolving_Bal,Saldo rotativo,0.02871,0.00056
Total_Amt_Chng_Q4_Q1,Δ Monto Q4/Q1,0.01953,0.00044
ratio_inactividad,Meses inactivo / antigüedad,0.00969,0.00077
Customer_Age,Edad,0.00618,0.0004
contactos_por_producto,Contactos por producto,0.00559,0.00044
Total_Ct_Chng_Q4_Q1,Δ Transacciones Q4/Q1,0.00544,0.00051
Total_Relationship_Count,Productos contratados,0.00524,0.00046
Credit_Limit,Límite de tarjeta,0.00299,0.00035
trans_por_mes,Transacciones por mes,0.00133,0.00026
caida_actividad,Caída de actividad Q4 vs Q1,0.0011,0.00022
Gender,Género,0.00081,0.00013
Avg_Utilization_Ratio,Ratio de utilización,0.00066,0.00019
Marital_Status,Estado civil,0.00058,0.00014
Contacts_Count_12_mon,Contactos (12m),0.0004,0.00014
Months_on_book,Antigüedad (meses),0.00037,6e-05
Dependent_count,Dependientes,0.00026,5e-05
Education_Level,Nivel educativo,0.00025,6e-05
Months_Inactive_12_mon,Meses inactivo (12m),8e-05,5e-05
Income_Category,Categoría de ingresos,6e-05,3e-05
Card_Category,Tipo de tarjeta,0.0,0.0
saldo_rotativo_cero,Saldo rotativo en cero,0.0,0.0
