,cartera_contactada,bajas_capturadas
0,0.00049,0.00308
1,0.00099,0.00615
2,0.00148,0.00923
3,0.00197,0.01231
4,0.00247,0.01538
5,0.00296,0.01846
6,0.00346,0.02154
7,0.00395,0.02462
8,0.00444,0.02769
9,0.00494,0.03077
10,0.00543,0.03385
11,0.00592,0.03692
12,0.00642,0.04
13,0.00691,0.04308
14,0.0074,0.04615
15,0.0079,0.04923
16,0.00839,0.05231
17,0.00888,0.05538
18,0.00938,0.05846
19,0.00987,0.06154
20,0.01037,0.06462
21,0.01086,0.06769
22,0.01135,0.07077
23,0.01185,0.07385
24,0.01234,0.07692
25,0.01283,0.08
26,0.01333,0.08308
27,0.01382,0.08615
28,0.01431,0.08923
29,0.01481,0.09231
30,0.0153,0.09538
31,0.01579,0.09846
32,0.01629,0.10154
33,0.01678,0.10462
34,0.01728,0.10769
35,0.01777,0.11077
36,0.01826,0.11385
37,0.01876,0.11692
38,0.01925,0.12
39,0.01974,0.12308
40,0.02024,0.12615
41,0.02073,0.12923
42,0.02122,0.13231
43,0.02172,0.13538
44,0.02221,0.13846
45,0.0227,0.14154
46,0.0232,0.14462
47,0.02369,0.14769
48,0.02419,0.15077
49,0.02468,0.15385
50,0.02517,0.15692
51,0.02567,0.16
52,0.02616,0.16308
53,0.02665,0.16615
54,0.02715,0.16923
55,0.02764,0.17231
56,0.02813,0.17538
57,0.02863,0.17846
58,0.02912,0.18154
59,0.02962,0.18462
60,0.03011,0.18769
61,0.0306,0.19077
62,0.0311,0.19385
63,0.03159,0.19692
64,0.03208,0.2
65,0.03258,0.20308
66,0.03307,0.20615
67,0.03356,0.20923
68,0.03406,0.21231
69,0.03455,0.21538
70,0.03504,0.21846
71,0.03554,0.22154
72,0.03603,0.22462
73,0.03653,0.22769
74,0.03702,0.23077
75,0.03751,0.23385
76,0.03801,0.23692
77,0.0385,0.24
78,0.03899,0.24308
79,0.03949,0.24615
80,0.03998,0.24923
81,0.04047,0.25231
82,0.04097,0.25538
83,0.04146,0.25846
84,0.04195,0.26154
85,0.04245,0.26462
86,0.04294,0.26769
87,0.04344,0.27077
88,0.04393,0.27385
89,0.04442,0.27692
90,0.04492,0.28
91,0.04541,0.28308
92,0.0459,0.28615
93,0.0464,0.28923
94,0.04689,0.29231
95,0.04738,0.29538
96,0.04788,0.29846
97,0.04837,0.30154
98,0.04886,0.30462
99,0.04936,0.30769
100,0.04985,0.31077
101,0.05035,0.31385
102,0.05084,0.31692
103,0.05133,0.32
104,0.05183,0.32308
105,0.05232,0.32615
106,0.05281,0.32923
107,0.05331,0.33231
108,0.0538,0.33538
109,0.05429,0.33846
110,0.05479,0.34154
